Dates,Median Price of Established House Transfers (Unstratified) ;  Sydney ;,Median Price of Established House Transfers (Unstratified) ;  Rest of NSW ;,Median Price of Established House Transfers (Unstratified) ;  Melbourne ;,Median Price of Established House Transfers (Unstratified) ;  Rest of Vic. ;,Median Price of Established House Transfers (Unstratified) ;  Brisbane ;,Median Price of Established House Transfers (Unstratified) ;  Rest of Qld. ;,Median Price of Established House Transfers (Unstratified) ;  Adelaide ;,Median Price of Established House Transfers (Unstratified) ;  Rest of SA ;,Median Price of Established House Transfers (Unstratified) ;  Perth ;,Median Price of Established House Transfers (Unstratified) ;  Rest of WA ;,Median Price of Established House Transfers (Unstratified) ;  Hobart ;,Median Price of Established House Transfers (Unstratified) ;  Rest of Tas. ;,Median Price of Established House Transfers (Unstratified) ;  Darwin ;,Median Price of Established House Transfers (Unstratified) ;  Rest of NT ;,Median Price of Established House Transfers (Unstratified) ;  Canberra ;,Number of Established House Transfers ;  Sydney ;,Number of Established House Transfers ;  Rest of NSW ;,Number of Established House Transfers ;  Melbourne ;,Number of Established House Transfers ;  Rest of Vic. ;,Number of Established House Transfers ;  Brisbane ;,Number of Established House Transfers ;  Rest of Qld. ;,Number of Established House Transfers ;  Adelaide ;,Number of Established House Transfers ;  Rest of SA ;,Number of Established House Transfers ;  Perth ;,Number of Established House Transfers ;  Rest of WA ;,Number of Established House Transfers ;  Hobart ;,Number of Established House Transfers ;  Rest of Tas. ;,Number of Established House Transfers ;  Darwin ;,Number of Established House Transfers ;  Rest of NT ;,Number of Established House Transfers ;  Canberra ;,Mean price of residential dwellings ;  New South Wales ;,Mean price of residential dwellings ;  Victoria ;,Mean price of residential dwellings ;  Queensland ;,Mean price of residential dwellings ;  South Australia ;,Mean price of residential dwellings ;  Western Australia ;,Mean price of residential dwellings ;  Tasmania ;,Mean price of residential dwellings ;  Northern Territory ;,Mean price of residential dwellings ;  Australian Capital Territory ;,Mean price of residential dwellings ;  Australia ;,Number of residential dwellings ;  New South Wales ;,Number of residential dwellings ;  Victoria ;,Number of residential dwellings ;  Queensland ;,Number of residential dwellings ;  South Australia ;,Number of residential dwellings ;  Western Australia ;,Number of residential dwellings ;  Tasmania ;,Number of residential dwellings ;  Northern Territory ;,Number of residential dwellings ;  Australian Capital Territory ;,Number of residential dwellings ;  Australia ;,,,,,,,
17-Mar,930,455,657.5,328,510,440,451.3,285,510,350,389.5,263,530,430.1,654.5,11314,11995,13358,6070,9089,9025,4256,1479,6206,1642,1113,1861,245,97,1006,885.8,695.6,494.0,439.2,525.0,356.0,455.2,644.5,665.0,3072.6,2550.5,1980.2,765.3,1068.3,241.1,83.4,165.7,9927.2,,,,,,,
17-Jun,1050,460,720,332,518,449,450,270,506,327,400,275,500,423.5,670,12280,11763,15375,5862,8951,8303,4221,1354,5845,1501,982,1690,244,86,1068,906.9,723.8,496.3,437.6,520.4,361.4,454.0,649.8,678.8,3086.0,2565.0,1992.2,767.0,1072.8,241.5,83.6,166.7,9974.8,,,,,,,
17-Sep,950,460,692,328,525,445,451,277.5,500,325,395,273.5,500,443,667.5,12582,13039,14913,6447,8971,8916,4079,1355,5762,1535,917,1619,252,94,956,897.9,717.6,502.0,442.5,521.2,374.7,452.6,646.9,676.4,3099.4,2580.8,2002.6,768.9,1077.2,242.0,83.8,167.9,10022.7,,,,,,,
17-Dec,1029,471.5,750,350,535,450,470,273.4,515,340,421,285,513.8,437.5,690,12012,13159,16039,6807,9006,9008,4455,1431,6030,1566,1059,1719,246,105,1279,906.7,746.9,506.5,449.8,530.5,384.5,441.1,670.1,689.7,3113.4,2595.2,2015.6,771.3,1080.9,242.5,84.1,168.9,10071.8,,,,,,,
18-Mar,955,480,731,355,526,449,465,280,510,338,449,295,500,445,698.5,9935,11247,12344,6751,8475,8770,4097,1519,6005,1631,989,1831,245,81,950,899.8,743.7,509.5,452.6,530.2,398.7,449.1,674.1,688.0,3127.7,2605.6,2023.6,773.1,1084.7,243.0,84.2,169.8,10111.7,,,,,,,
18-Jun,973.1,480,750,355,532,435,468,276,510,310,457.8,300,506,453.5,690,10879,11838,13531,6731,8497,8554,4149,1421,5676,1488,935,1796,236,81,1057,886.1,737.7,511.5,449.3,516.3,401.7,441.3,679.9,681.1,3142.4,2621.7,2034.7,775.3,1088.8,243.5,84.4,170.6,10161.4,,,,,,,
18-Sep,950,475,720,355,540,440,466.3,280,485,321.5,440.3,293,500,417,700,9720,10770,12138,6219,8337,8651,4014,1322,5875,1564,896,1581,257,89,881,868.5,717.4,516.0,451.7,517.6,410.7,417.1,674.4,671.7,3159.9,2636.7,2047.1,777.4,1092.4,244.2,84.6,171.4,10213.6,,,,,,,
18-Dec,940,464.8,735,370,540,433,480,295,489,320,465,310,510,452.5,720,9621,11238,12270,6208,7867,8201,4282,1378,5752,1634,907,1593,249,78,1026,845.3,708.6,510.3,459.5,510.2,416.1,447.3,678.3,661.4,3178.0,2650.8,2057.1,780.4,1096.3,244.8,84.8,172.1,10264.4,,,,,,,
19-Mar,870,462,685,370,533,434,475,285,490,330,471.5,310,485,419.5,690,8565,9599,10284,5534,7380,7739,3793,1410,5717,1579,903,1607,221,80,777,825.7,683.0,501.0,457.8,506.0,411.5,431.5,670.9,646.0,3190.6,2662.2,2065.1,782.3,1099.4,245.3,85.2,173.5,10303.8,,,,,,,
19-Jun,897,470,700,370,538,440,478.5,276.5,480,320,490,310,470,422.5,715,10397,10152,12317,5447,7514,7731,3944,1310,5676,1416,836,1435,223,78,979,827.5,690.9,506.7,454.5,500.4,423.2,439.7,668.5,649.3,3207.2,2676.6,2072.6,784.6,1103.3,246.0,85.3,174.7,10350.2,,,,,,,
19-Sep,900,475,705,375,540,441,474,287.5,478,310,480,320,489,410,676,12196,11377,12832,5898,8520,9405,4016,1374,6013,1742,872,1499,230,71,1207,863.8,715.5,514.1,452.8,503.8,423.7,439.3,673.7,668.8,3220.6,2690.4,2083.1,786.3,1106.1,246.6,85.5,175.4,10393.9,,,,,,,
19-Dec,985,500,760,390,550,448.5,485,290,495,337.8,518.5,340,470,434.5,745,13545,12296,15615,6853,8428,9110,4215,1578,6226,1734,876,1616,239,76,1320,883.7,749.1,520.6,470.6,499.3,444.1,411.9,707.0,686.8,3236.1,2706.7,2091.0,788.1,1109.8,247.2,85.6,176.8,10441.4,,,,,,,
